FDNames,GLnames,SameName,OrigFD
Damian Lillard,Damian Lillard,TRUE,Cristiano Felicio
Damjan Rudez,Damjan Rudez,TRUE,D Augustin.J.
Daniel Ochefu,Daniel Ochefu,TRUE,D Russell'Angelo
Danilo Gallinari,Danilo Gallinari,TRUE,Damian Jones
Danny Green,Danny Green,TRUE,Damian Lillard
Dante Cunningham,Dante Cunningham,TRUE,Damjan Rudez
Dante Exum,Dante Exum,TRUE,Daniel Ochefu
Danuel House,Danuel House,TRUE,Danilo Gallinari
Dario Saric,Dario Saric,TRUE,Danny Green
Darrell Arthur,Darrell Arthur,TRUE,Dante Cunningham
Darren Collison,Darren Collison,TRUE,Dante Exum
Darrun Hilliard,Darrun Hilliard,TRUE,Danuel House
David Lee,David Lee,TRUE,Dario Saric
David Nwaba,David Nwaba,TRUE,Darrell Arthur
David West,David West,TRUE,Darren Collison
Davis Bertans,Davis Bertans,TRUE,Darrun Hilliard
DeAndre Jordan,DeAndre Jordan,TRUE,David Lee
DeAndre Liggins,DeAndre Liggins,TRUE,David Nwaba
DeAndre Bembry,DeAndre' Bembry,FALSE,David West
Dejounte Murray,Dejounte Murray,TRUE,Davis Bertans
Delon Wright,Delon Wright,TRUE,DeAndre Bembry
DeMar DeRozan,DeMar DeRozan,TRUE,DeAndre Jordan
DeMarcus Cousins,DeMarcus Cousins,TRUE,DeAndre Liggins
DeMarre Carroll,DeMarre Carroll,TRUE,Dejounte Murray
Demetrius Jackson,Demetrius Jackson,TRUE,Delon Wright
Dennis Schroder,Dennis Schroder,TRUE,DeMar DeRozan
Denzel Valentine,Denzel Valentine,TRUE,DeMarcus Cousins
Deron Williams,Deron Williams,TRUE,DeMarre Carroll
Derrick Favors,Derrick Favors,TRUE,Demetrius Jackson
Derrick Jones,"Derrick Jones, Jr.",FALSE,Dennis Schroder
Derrick Rose,Derrick Rose,TRUE,Denzel Valentine
Derrick Williams,Derrick Williams,TRUE,Deron Williams
Devin Booker,Devin Booker,TRUE,Derrick Favors
Devin Harris,Devin Harris,TRUE,Derrick Jones
Dewayne Dedmon,Dewayne Dedmon,TRUE,Derrick Rose
Deyonta Davis,Deyonta Davis,TRUE,Derrick Williams
Diamond Stone,Diamond Stone,TRUE,Devin Booker
Dion Waiters,Dion Waiters,TRUE,Devin Harris
Dirk Nowitzki,Dirk Nowitzki,TRUE,Dewayne Dedmon
Domantas Sabonis,Domantas Sabonis,TRUE,Deyonta Davis
Donatas Motiejunas,Donatas Motiejunas,TRUE,Diamond Stone
Finney-Dorian Smith,Dorian Finney-Smith,FALSE,Dion Waiters
Doug McDermott,Doug McDermott,TRUE,Dirk Nowitzki
Dragan Bender,Dragan Bender,TRUE,Domantas Sabonis
Draymond Green,Draymond Green,TRUE,Donatas Motiejunas
Dwight Howard,Dwight Howard,TRUE,Doug McDermott
Dwight Powell,Dwight Powell,TRUE,Dragan Bender
Dwyane Wade,Dwyane Wade,TRUE,Draymond Green
E Moore'Twaun,E'Twaun Moore,FALSE,Dwight Howard
Ed Davis,Ed Davis,TRUE,Dwight Powell
Elfrid Payton,Elfrid Payton,TRUE,Dwyane Wade
Emmanuel Mudiay,Emmanuel Mudiay,TRUE,E Moore'Twaun
Enes Kanter,Enes Kanter,TRUE,Ed Davis
Eric Bledsoe,Eric Bledsoe,TRUE,Elfrid Payton
Eric Gordon,Eric Gordon,TRUE,Emmanuel Mudiay
Ersan Ilyasova,Ersan Ilyasova,TRUE,Enes Kanter
Evan Fournier,Evan Fournier,TRUE,Eric Bledsoe
Evan Turner,Evan Turner,TRUE,Eric Gordon
Frank Kaminsky,Frank Kaminsky,TRUE,Ersan Ilyasova
Fred VanVleet,Fred VanVleet,TRUE,Evan Fournier
Garrett Temple,Garrett Temple,TRUE,Evan Turner
Gary Harris,Gary Harris,TRUE,Festus Ezeli
George Hill,George Hill,TRUE,Finney-Dorian Smith
Georges Niang,Georges Niang,TRUE,Frank Kaminsky
Georgios Papagiannis,Georgios Papagiannis,TRUE,Fred VanVleet
Gerald Green,Gerald Green,TRUE,Garrett Temple
Gerald Henderson,Gerald Henderson,TRUE,Gary Harris
Giannis Antetokounmpo,Giannis Antetokounmpo,TRUE,George Hill
Robinson Glenn III,Glenn Robinson III,FALSE,Georges Niang
Goran Dragic,Goran Dragic,FALSE,Georgios Papagiannis
Gordon Hayward,Gordon Hayward,FALSE,Gerald Green
Gorgui Dieng,Gorgui Dieng,FALSE,Gerald Henderson
Greg Monroe,Greg Monroe,FALSE,Giannis Antetokounmpo
