"","teams","opp","date","opener.odds","opener.juice","pinn.odds","pinn.juice","opener","totals","totalsjuice"
"132","Minnesota Lynx","Connecticut Sun",2017-06-17,-5,-115,-5,-135,81,79,-130
"133","Dallas Wings","Washington Mystics",2017-06-18,3.5,-105,4.5,-101,88,88,-135
"134","Washington Mystics","Dallas Wings",2017-06-18,-3.5,-115,-4.5,-120,88,88,111
"135","Phoenix Mercury","L.A. Sparks",2017-06-18,4,-110,4,-110,81.5,83,-125
"136","L.A. Sparks","Phoenix Mercury",2017-06-18,-4,-110,-4,-110,81.5,83,103
"137","Indiana Fever","Chicago Sky",2017-06-18,-0.5,-110,NA,-110,80.5,82,-110
"138","Chicago Sky","Indiana Fever",2017-06-18,0.5,-110,NA,-110,80.5,82,-110
"139","San Antonio Stars","Seattle Storm",2017-06-18,5.5,-110,6,103,81.5,81.5,-123
"140","Seattle Storm","San Antonio Stars",2017-06-18,-5.5,-110,-6,-125,81.5,81.5,102
"141","San Antonio Stars","Dallas Wings",2017-06-21,4,-110,4,-107,82,83,-113
"142","Dallas Wings","San Antonio Stars",2017-06-21,-4,-110,-4,-113,82,83,-107
"143","Connecticut Sun","New York Liberty",2017-06-23,1.5,-110,2.5,-112,81.5,78.5,-111
"144","New York Liberty","Connecticut Sun",2017-06-23,-1.5,-110,-2.5,-108,81.5,78.5,-109
"145","Chicago Sky","Atlanta Dream",2017-06-23,3,-110,1.5,-104,81.5,82.5,-112
"146","Atlanta Dream","Chicago Sky",2017-06-23,-3,-110,-1.5,-116,81.5,82.5,-108
"147","Washington Mystics","Minnesota Lynx",2017-06-23,4.5,-110,5.5,-105,82.5,83.5,-126
"148","Minnesota Lynx","Washington Mystics",2017-06-23,-4.5,-110,-5.5,-115,82.5,83.5,104
"149","Dallas Wings","San Antonio Stars",2017-06-23,-1.5,-110,-1,-112,81.5,81.5,-127
"150","San Antonio Stars","Dallas Wings",2017-06-23,1.5,-110,1,-108,81.5,81.5,105
"151","Phoenix Mercury","Seattle Storm",2017-06-23,1.5,-110,3,102,79.5,80.5,-132
"152","Seattle Storm","Phoenix Mercury",2017-06-23,-1.5,-110,-3,-123,79.5,80.5,109
"153","L.A. Sparks","Indiana Fever",2017-06-24,-3,-110,-3,-112,83.5,82.5,117
"154","Indiana Fever","L.A. Sparks",2017-06-24,3,-110,3,-108,83.5,82.5,-142
"155","Connecticut Sun","Dallas Wings",2017-06-25,-1.5,-110,-2.5,-112,86,85,-101
"156","Dallas Wings","Connecticut Sun",2017-06-25,1.5,-110,2.5,-108,86,85,-120
"157","Washington Mystics","Chicago Sky",2017-06-25,-2.5,-110,-3,101,83,86.5,-120
"158","Chicago Sky","Washington Mystics",2017-06-25,2.5,-110,3,-122,83,86.5,-101
"159","San Antonio Stars","Minnesota Lynx",2017-06-25,-10,-110,10,111,79.5,79,-117
"160","Minnesota Lynx","San Antonio Stars",2017-06-25,10,-110,-10,-134,79.5,79,-103
"161","Seattle Storm","Washington Mystics",2017-06-27,3,-105,2.5,-106,82.5,83.5,104
"162","Washington Mystics","Seattle Storm",2017-06-27,-3,-115,-2.5,-114,82.5,83.5,-126
"163","L.A. Sparks","Connecticut Sun",2017-06-27,0,-110,-1,-107,85.5,83,108
"164","Connecticut Sun","L.A. Sparks",2017-06-27,0,-110,1,-113,85.5,83,-131
"165","Indiana Fever","Chicago Sky",2017-06-28,-1,-110,-1.5,-103,81,84.5,-110
"166","Chicago Sky","Indiana Fever",2017-06-28,1,-110,1.5,-117,81,84.5,-110
"167","New York Liberty","Washington Mystics",2017-06-29,3.5,-110,4,-110,84,84.5,-135
"168","Washington Mystics","New York Liberty",2017-06-29,-3.5,-110,-4,-110,84,84.5,111
"169","Seattle Storm","Connecticut Sun",2017-06-29,3.5,-110,3.5,-105,83.5,82,103
"170","Connecticut Sun","Seattle Storm",2017-06-29,-3.5,-110,-3.5,-115,83.5,82,-125
"171","L.A. Sparks","Atlanta Dream",2017-06-30,-3.5,-110,-4,-113,78.5,77,-100
"172","Atlanta Dream","L.A. Sparks",2017-06-30,3.5,-110,4,-107,78.5,77,-121
"173","Chicago Sky","San Antonio Stars",2017-06-30,-1,-110,-1.5,-115,78.5,78.5,-130
"174","San Antonio Stars","Chicago Sky",2017-06-30,1,-110,1.5,-105,78.5,78.5,107
"175","Minnesota Lynx","Phoenix Mercury",2017-06-30,-4,-110,-3.5,-120,82.5,84.5,-130
"176","Phoenix Mercury","Minnesota Lynx",2017-06-30,4,-110,3.5,-101,82.5,84.5,107
"177","Connecticut Sun","Indiana Fever",2017-07-01,-1,-115,-1.5,-118,83.5,81.5,-132
"178","Indiana Fever","Connecticut Sun",2017-07-01,1,-105,1.5,-103,83.5,81.5,109
"179","Seattle Storm","Dallas Wings",2017-07-01,2.5,-110,2,-101,86,84.5,104
"180","Dallas Wings","Seattle Storm",2017-07-01,-2.5,-110,-2,-120,86,84.5,-126
"181","Washington Mystics","L.A. Sparks",2017-07-02,3,-105,3.5,-103,84.5,84.5,-121
"182","L.A. Sparks","Washington Mystics",2017-07-02,-3,-115,-3.5,-118,84.5,84.5,100
"183","New York Liberty","Atlanta Dream",2017-07-02,-1.5,-110,-2.5,101,79,78.5,-108
"184","Atlanta Dream","New York Liberty",2017-07-02,1.5,-110,2.5,-122,79,78.5,-112
"185","Atlanta Dream","Dallas Wings",2017-07-05,2.5,-110,2.5,-115,81,80,-110
"186","Dallas Wings","Atlanta Dream",2017-07-05,-2.5,-110,-2.5,-105,81,80,-110
"187","Connecticut Sun","San Antonio Stars",2017-07-05,-4.5,-110,-4.5,-115,80.5,79.5,103
"188","San Antonio Stars","Connecticut Sun",2017-07-05,4.5,-110,4.5,-105,80.5,79.5,-125
"189","Washington Mystics","Phoenix Mercury",2017-07-05,0,-110,0,-110,81.5,83.5,-110
"190","Phoenix Mercury","Washington Mystics",2017-07-05,0,-110,0,-110,81.5,83.5,-110
"191","L.A. Sparks","Minnesota Lynx",2017-07-06,3.5,-105,3.5,-101,81.5,81,-105
"192","Minnesota Lynx","L.A. Sparks",2017-07-06,-3.5,-115,-3.5,-120,81.5,81,-115
"193","New York Liberty","Seattle Storm",2017-07-06,2,-110,2,-101,81.5,81.5,-135
"194","Seattle Storm","New York Liberty",2017-07-06,-2,-110,-2,-120,81.5,81.5,111
"195","Indiana Fever","Atlanta Dream",2017-07-07,-0.5,-110,-0.5,-110,78.5,80,-130
"196","Atlanta Dream","Indiana Fever",2017-07-07,0.5,-110,0.5,-110,78.5,80,107
"197","Phoenix Mercury","San Antonio Stars",2017-07-07,-5.5,-115,-6,-120,75.5,77,-130
"198","San Antonio Stars","Phoenix Mercury",2017-07-07,5.5,-105,6,-101,75.5,77,107
"199","Washington Mystics","Connecticut Sun",2017-07-08,1.5,-110,1.5,-105,83,85,-110
"200","Connecticut Sun","Washington Mystics",2017-07-08,-1.5,-110,-1.5,-115,83,85,-110
"201","Minnesota Lynx","Chicago Sky",2017-07-08,-8.5,-110,-8,-110,83.5,84.5,-125
"202","Chicago Sky","Minnesota Lynx",2017-07-08,8.5,-110,8,-110,83.5,84.5,103
"203","L.A. Sparks","Seattle Storm",2017-07-08,-3,-110,-3,-120,80,79,-110
"204","Seattle Storm","L.A. Sparks",2017-07-08,3,-110,3,-101,80,79,-110
"205","Dallas Wings","Atlanta Dream",2017-07-09,1,-110,1.5,-110,83.5,84,-128
"206","Atlanta Dream","Dallas Wings",2017-07-09,-1,-110,-1.5,-110,83.5,84,106
"207","New York Liberty","Phoenix Mercury",2017-07-09,2.5,-105,3,-106,80.5,80.5,-123
"208","Phoenix Mercury","New York Liberty",2017-07-09,-2.5,-115,-3,-114,80.5,80.5,102
"209","San Antonio Stars","Indiana Fever",2017-07-12,5,-110,4.5,-118,79,79.5,-109
"210","Indiana Fever","San Antonio Stars",2017-07-12,-5,-110,-4.5,-103,79,79.5,-111
"211","Dallas Wings","Chicago Sky",2017-07-12,-2,-105,-1.5,-108,87,88,-110
"212","Chicago Sky","Dallas Wings",2017-07-12,2,-115,1.5,-112,87,88,-110
"213","Connecticut Sun","Seattle Storm",2017-07-12,-2,-115,-1.5,-110,84,82.5,-119
"214","Seattle Storm","Connecticut Sun",2017-07-12,2,-105,1.5,-110,84,82.5,-102
"215","Atlanta Dream","Phoenix Mercury",2017-07-12,3.5,-105,3.5,-102,79.5,81.5,-116
"216","Phoenix Mercury","Atlanta Dream",2017-07-12,-3.5,-115,-3.5,-119,79.5,81.5,-104
"217","Connecticut Sun","L.A. Sparks",2017-07-13,4,-110,4,-105,82.5,81,103
"218","L.A. Sparks","Connecticut Sun",2017-07-13,-4,-110,-4,-115,82.5,81,-125
"219","Washington Mystics","Indiana Fever",2017-07-14,-3.5,-110,-3.5,-119,82.5,83.5,-118
"220","Indiana Fever","Washington Mystics",2017-07-14,3.5,-110,3.5,-102,82.5,83.5,-103
"221","Chicago Sky","New York Liberty",2017-07-14,4.5,-110,4,-105,81,81,-103
"222","New York Liberty","Chicago Sky",2017-07-14,-4.5,-110,-4,-115,81,81,-117
"223","Minnesota Lynx","Phoenix Mercury",2017-07-14,-3.5,-110,-3.5,-115,84,85,-114
"224","Phoenix Mercury","Minnesota Lynx",2017-07-14,3.5,-110,3.5,-105,84,85,-106
"225","Atlanta Dream","Seattle Storm",2017-07-15,2,-105,3.5,-110,80.5,81,-133
"226","Seattle Storm","Atlanta Dream",2017-07-15,-2,-115,-3.5,-110,80.5,81,110
"227","San Antonio Stars","Connecticut Sun",2017-07-16,8.5,-105,8.5,-101,82.5,82,111
"228","Connecticut Sun","San Antonio Stars",2017-07-16,-8.5,-115,-8.5,-120,82.5,82,-135
"229","Washington Mystics","New York Liberty",2017-07-16,2,-110,3.5,-105,78.5,77.5,-110
"230","New York Liberty","Washington Mystics",2017-07-16,-2,-110,-3.5,-115,78.5,77.5,-110
"231","Chicago Sky","Dallas Wings",2017-07-16,3,-105,3,-105,86.5,87.5,-115
"232","Dallas Wings","Chicago Sky",2017-07-16,-3,-115,-3,-115,86.5,87.5,-105
"233","Phoenix Mercury","Minnesota Lynx",2017-07-16,8.5,-110,10,-115,83.5,82.5,-142
"234","Minnesota Lynx","Phoenix Mercury",2017-07-16,-8.5,-110,-10,-105,83.5,82.5,117
"235","Indiana Fever","L.A. Sparks",2017-07-17,8.5,-110,8.5,-103,79,79.5,-117
"236","L.A. Sparks","Indiana Fever",2017-07-17,-8.5,-110,-8.5,-118,79,79.5,-103
"237","San Antonio Stars","Atlanta Dream",2017-07-18,6,-110,5.5,-105,75.5,77.5,100
"238","Atlanta Dream","San Antonio Stars",2017-07-18,-6,-110,-5.5,-115,75.5,77.5,-121
"239","Chicago Sky","Seattle Storm",2017-07-18,3.5,-105,3,-110,83,83,-105
"240","Seattle Storm","Chicago Sky",2017-07-18,-3.5,-115,-3,-110,83,83,-115
"241","Connecticut Sun","New York Liberty",2017-07-19,-1.5,-110,-1,-123,82,82,-112
"242","New York Liberty","Connecticut Sun",2017-07-19,1.5,-110,1,102,82,82,-108
"243","Atlanta Dream","Washington Mystics",2017-07-19,1.5,-110,2,-110,78.5,79.5,-121
"244","Washington Mystics","Atlanta Dream",2017-07-19,-1.5,-110,-2,-110,78.5,79.5,100
"245","Dallas Wings","Minnesota Lynx",2017-07-19,8,-110,8,-121,85.5,86,-125
"246","Minnesota Lynx","Dallas Wings",2017-07-19,-8,-110,-8,100,85.5,86,103
"247","Indiana Fever","Phoenix Mercury",2017-07-19,3.5,-110,3.5,-121,79,79,-120
"248","Phoenix Mercury","Indiana Fever",2017-07-19,-3.5,-110,-3.5,100,79,79,-101
"249","Chicago Sky","L.A. Sparks",2017-07-20,6.5,-110,6.5,-110,81.5,81.5,111
"250","L.A. Sparks","Chicago Sky",2017-07-20,-6.5,-110,-6.5,-110,81.5,81.5,-135
"251","Indiana Fever","San Antonio Stars",2017-07-20,-3,-110,-2.5,-110,76,77.5,-105
"252","San Antonio Stars","Indiana Fever",2017-07-20,3,-110,2.5,-110,76,77.5,-115
"253","East All Stars","West All Stars",2017-07-22,NA,-110,NA,-110,115.5,114.5,-129
"254","West All Stars","East All Stars",2017-07-22,NA,-110,NA,-110,115.5,114.5,106
"255","Washington Mystics","San Antonio Stars",2017-07-25,-2.5,-110,-3.5,-115,76,79.5,-110
"256","San Antonio Stars","Washington Mystics",2017-07-25,2.5,-110,3.5,-105,76,79.5,-110
"257","Chicago Sky","Connecticut Sun",2017-07-25,3.5,-110,3.5,-106,85.5,85,101
"258","Connecticut Sun","Chicago Sky",2017-07-25,-3.5,-110,-3.5,-114,85.5,85,-122
"259","Phoenix Mercury","Atlanta Dream",2017-07-25,3,-110,3,-110,82.5,82.5,-115
"260","Atlanta Dream","Phoenix Mercury",2017-07-25,-3,-110,-3,-110,82.5,82.5,-105
"261","Indiana Fever","Dallas Wings",2017-07-25,3.5,100,3.5,-110,84,86,-105
"262","Dallas Wings","Indiana Fever",2017-07-25,-3.5,-120,-3.5,-110,84,86,-115
"263","New York Liberty","Minnesota Lynx",2017-07-25,8,-110,6.5,-106,82,84,-115
"264","Minnesota Lynx","New York Liberty",2017-07-25,-8,-110,-6.5,-114,82,84,-105
"265","Seattle Storm","L.A. Sparks",2017-07-25,6.5,-110,5.5,-125,81,78.5,-110
"266","L.A. Sparks","Seattle Storm",2017-07-25,-6.5,-110,-5.5,103,81,78.5,-110
"267","New York Liberty","Indiana Fever",2017-07-28,-3,-115,-3.5,-105,79,80.5,-110
"268","Indiana Fever","New York Liberty",2017-07-28,3,-105,3.5,-115,79,80.5,-110
"269","Minnesota Lynx","Atlanta Dream",2017-07-28,-4,-110,-4,-113,85,85.5,-110
"270","Atlanta Dream","Minnesota Lynx",2017-07-28,4,-110,4,-107,85,85.5,-110
"271","L.A. Sparks","San Antonio Stars",2017-07-28,-6,-110,-6,-110,76.5,75.5,-115
"272","San Antonio Stars","L.A. Sparks",2017-07-28,6,-110,6,-110,76.5,75.5,-105
"273","Phoenix Mercury","Chicago Sky",2017-07-28,2.5,-110,2.5,-105,83.5,84.5,-115
"274","Chicago Sky","Phoenix Mercury",2017-07-28,-2.5,-110,-2.5,-115,83.5,84.5,-105
"275","Dallas Wings","Seattle Storm",2017-07-28,3,-110,3.5,-110,86.5,87.5,-116
"276","Seattle Storm","Dallas Wings",2017-07-28,-3,-110,-3.5,-110,86.5,87.5,-104
"277","Connecticut Sun","Washington Mystics",2017-07-28,1,-105,1.5,-105,83,83,-110
"278","Washington Mystics","Connecticut Sun",2017-07-28,-1,-115,-1.5,-115,83,83,-110
"279","Indiana Fever","Connecticut Sun",2017-07-30,6,-105,8,-101,83.5,82,-119
"280","Connecticut Sun","Indiana Fever",2017-07-30,-6,-115,-8,-120,83.5,82,-102
