"","Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","teams","opp","date","pinn.odds","totals","opp_dfsnm","AvgPEV","Cnt","DKPos"
"239","PF/C","Taj Gibson",4600,"Mia@Chi 08:00PM ET",24.783,"CHI","Chicago","Miami",2017-01-27,-7.5,203.5,"MIA",-1.08688787878788,33,"PF"
"240","PF","Trevor Booker",4600,"Bkn@Cle 07:30PM ET",27.5,"BKN","Brooklyn","Cleveland",2017-01-27,15.5,227.5,"CLE",3.61101944444444,36,"PF"
"241","PF","Al-Farouq Aminu",4500,"Mem@Por 10:00PM ET",21.533,"POR","Portland","Memphis",2017-01-27,-1,205.5,"MEM",-0.183688235294118,34,"PF"
"242","PF","JaMychal Green",4400,"Mem@Por 10:00PM ET",22.989,"MEM","Memphis","Portland",2017-01-27,1,205.5,"POR",-1.66895428571429,35,"PF"
"243","PF/C","Spencer Hawes",4300,"Cha@NY 07:30PM ET",16.919,"CHA","Charlotte","New York",2017-01-27,-1,211.5,"NYK",0.829271111111111,45,"PF"
"244","PF/C","Kelly Olynyk",4200,"Orl@Bos 07:30PM ET",18.814,"BOS","Boston","Orlando",2017-01-27,-8,215.5,"ORL",-3.58241,40,"PF"
"245","SF/PF","Dario Saric",4200,"Hou@Phi 08:00PM ET",20.943,"PHI","Philadelphia","Houston",2017-01-27,6.5,220,"HOU",1.65426923076923,39,"PF"
"246","SF/PF","Jeff Green",4000,"Orl@Bos 07:30PM ET",16.603,"ORL","Orlando","Boston",2017-01-27,8,215.5,"BOS",1.84642285714286,35,"PF"
"247","PF","Nikola Mirotic",4000,"Mia@Chi 08:00PM ET",20.567,"CHI","Chicago","Miami",2017-01-27,-7.5,203.5,"MIA",-1.08688787878788,33,"PF"
"248","PF/C","Lucas Nogueira",4000,"Mil@Tor 07:30PM ET",17.703,"TOR","Toronto","Milwaukee",2017-01-27,-5,212.5,"MIL",2.993865,40,"PF"
"249","SF/PF","Rondae Hollis-Jefferson",3900,"Bkn@Cle 07:30PM ET",19.36,"BKN","Brooklyn","Cleveland",2017-01-27,15.5,227.5,"CLE",3.61101944444444,36,"PF"
"250","SF/PF","Matt Barnes",3900,"Sac@Ind 07:00PM ET",18.94,"SAC","Sacramento","Indiana",2017-01-27,4.5,210.5,"IND",-1.50571142857143,35,"PF"
"251","PF","Richaun Holmes",3900,"Hou@Phi 08:00PM ET",16.24,"PHI","Philadelphia","Houston",2017-01-27,6.5,220,"HOU",1.65426923076923,39,"PF"
"252","PF","Frank Kaminsky",3800,"Cha@NY 07:30PM ET",20.676,"CHA","Charlotte","New York",2017-01-27,-1,211.5,"NYK",0.829271111111111,45,"PF"
"253","SF/PF","Sam Dekker",3800,"Hou@Phi 08:00PM ET",16.133,"HOU","Houston","Philadelphia",2017-01-27,-6.5,220,"PHI",-2.57673611111111,36,"PF"
"254","PF/C","Amir Johnson",3700,"Orl@Bos 07:30PM ET",16.761,"BOS","Boston","Orlando",2017-01-27,-8,215.5,"ORL",-3.58241,40,"PF"
"255","PF/C","Kyle O'Quinn",3600,"Cha@NY 07:30PM ET",17.456,"NYK","New York","Charlotte",2017-01-27,1,211.5,"CHA",0.995565,40,"PF"
"256","SF/PF","Dante Cunningham",3600,"SA@NO 08:00PM ET",15.333,"NOR","New Orleans","San Antonio",2017-01-27,6,210.5,"SAS",-0.0436228571428572,35,"PF"
"257","PF","Okaro White",3500,"Mia@Chi 08:00PM ET",10.75,"MIA","Miami","Chicago",2017-01-27,7.5,203.5,"CHI",0.150169444444444,36,"PF"
"258","PF/C","Channing Frye",3500,"Bkn@Cle 07:30PM ET",16.561,"CLE","Cleveland","Brooklyn",2017-01-27,-15.5,227.5,"BKN",-1.655585,40,"PF"
"259","SF/PF","Michael Beasley",3500,"Mil@Tor 07:30PM ET",16.324,"MIL","Milwaukee","Toronto",2017-01-27,5,212.5,"TOR",0.0284710526315787,38,"PF"
"260","PF/C","Donatas Motiejunas",3500,"SA@NO 08:00PM ET",13.083,"NOR","New Orleans","San Antonio",2017-01-27,6,210.5,"SAS",-0.0436228571428572,35,"PF"
"261","SF/PF","Anthony Tolliver",3400,"Sac@Ind 07:00PM ET",13.72,"SAC","Sacramento","Indiana",2017-01-27,4.5,210.5,"IND",-1.50571142857143,35,"PF"
"262","PF/C","Justin Hamilton",3300,"Bkn@Cle 07:30PM ET",16.154,"BKN","Brooklyn","Cleveland",2017-01-27,15.5,227.5,"CLE",3.61101944444444,36,"PF"
"263","PF/C","Kris Humphries",3100,"Was@Atl 08:00PM ET",11.142,"ATL","Atlanta","Washington",2017-01-27,-3.5,214.5,"WAS",2.8069358974359,39,"PF"
"264","PF","Patrick Patterson",3100,"Mil@Tor 07:30PM ET",18.893,"TOR","Toronto","Milwaukee",2017-01-27,-5,212.5,"MIL",2.993865,40,"PF"
"265","PF/C","Jason Smith",3000,"Was@Atl 08:00PM ET",10.326,"WAS","Washington","Atlanta",2017-01-27,3.5,214.5,"ATL",-0.234097222222222,36,"PF"
"266","PF/C","Mike Muscala",3000,"Was@Atl 08:00PM ET",16.594,"ATL","Atlanta","Washington",2017-01-27,-3.5,214.5,"WAS",2.8069358974359,39,"PF"
