"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22047-15590","C","Mason","Mason Plumlee","Plumlee","17.356250762939453","16","3500","DEN@SAC","DEN","SAC","","","",""
"22047-9613","SG","Devin","Devin Harris","Harris","15.254545731977982","11","3500","BOS@DAL","DAL","BOS","","","",""
"22047-23447","C","Richaun","Richaun Holmes","Holmes","12.09999974568685","6","3500","UTA@PHI","PHI","UTA","GTD","Illness","",""
"22047-9652","PG","Jameer","Jameer Nelson","Nelson","18.621429443359375","14","3500","OKC@NO","NO","OKC","","","",""
"22047-9671","C","Marreese","Marreese Speights","Speights","12.566666920979818","12","3500","IND@ORL","ORL","IND","","","",""
"22047-9678","C","Channing","Channing Frye","Frye","7.914285932268415","14","3500","CLE@DET","CLE","DET","","","",""
"22047-9704","SG","Manu","Manu Ginobili","Ginobili","16.03076876126803","13","3500","ATL@SA","SA","ATL","","","",""
"22047-23121","PF","Tyler","Tyler Cavanaugh","Cavanaugh","7.985714503696987","7","3400","ATL@SA","ATL","SA","","","",""
"22047-14501","C","Tristan","Tristan Thompson","Thompson","13.712499618530273","8","3400","CLE@DET","CLE","DET","O","Calf","",""
"22047-70820","C","Thon","Thon Maker","Maker","13.333333333333334","15","3400","WAS@MIL","MIL","WAS","","","",""
"22047-16196","PF","Dwight","Dwight Powell","Powell","14.087499618530273","16","3400","BOS@DAL","DAL","BOS","","","",""
"22047-80816","SG","Malik","Malik Monk","Monk","14.242856706891741","14","3400","MIN@CHA","CHA","MIN","","","",""
"22047-17894","C","Mike","Mike Muscala","Muscala","16.5","9","3400","ATL@SA","ATL","SA","GTD","Ankle","",""
"22047-64017","C","Salah","Salah Mejri","Mejri","15.561538696289062","13","3300","BOS@DAL","DAL","BOS","","","",""
"22047-12339","C","Ekpe","Ekpe Udoh","Udoh","12.27058859432445","17","3300","UTA@PHI","UTA","PHI","","","",""
"22047-12349","PF","Luke","Luke Babbitt","Babbitt","13.606249809265137","16","3300","ATL@SA","ATL","SA","GTD","Back","",""
"22047-12368","SF","Nemanja","Nemanja Bjelica","Bjelica","13.818750381469727","16","3300","MIN@CHA","MIN","CHA","","","",""
"22047-17491","SF","James","James Ennis III","Ennis III","17.180000813802085","15","3300","POR@MEM","MEM","POR","","","",""
"22047-23178","SF","Mirza","Mirza Teletovic","Teletovic","12.15999984741211","10","3300","WAS@MIL","MIL","WAS","O","Knee","",""
"22047-14510","SG","Alec","Alec Burks","Burks","12.618749618530273","16","3300","UTA@PHI","UTA","PHI","","","",""
"22047-9962","PF","Jonas","Jonas Jerebko","Jerebko","10.34999974568685","12","3300","UTA@PHI","UTA","PHI","","","",""
"22047-9458","SF","Tony","Tony Allen","Allen","9.641666412353516","12","3300","OKC@NO","NO","OKC","GTD","Knee","",""
"22047-9466","PG","D.J.","D.J. Augustin","Augustin","18.933332655164932","9","3300","IND@ORL","ORL","IND","","","",""
"22047-16201","PG","Michael","Michael Carter-Williams","Carter-Williams","12.975000381469727","4","3300","MIN@CHA","CHA","MIN","","","",""
"22047-9605","PG","Ramon","Ramon Sessions","Sessions","14.2","5","3300","LAC@NY","NY","LAC","","","",""
"22047-15771","PF","Gorgui","Gorgui Dieng","Dieng","14.299999530498798","13","3300","MIN@CHA","MIN","CHA","","","",""
