"","teams","opp","date","opener.odds","opener.juice","pinn.odds","pinn.juice","opener","totals","totalsjuice"
"156","Phoenix Mercury","Atlanta Dream",2015-07-14,-4.5,-115,-5.5,103,76.5,76,-103
"157","San Antonio Stars","New York Liberty",2015-07-15,4.5,-105,4.5,108,72,72,105
"158","New York Liberty","San Antonio Stars",2015-07-15,-4.5,-115,-4.5,-119,72,72,-116
"159","Washington Mystics","Chicago Sky",2015-07-15,2.5,-105,2.5,102,78,78,-107
"160","Chicago Sky","Washington Mystics",2015-07-15,-2.5,-115,-2.5,-113,78,78,-103
"161","L.A. Sparks","Seattle Storm",2015-07-15,-0.5,-105,-0.5,-109,72.5,72.5,-109
"162","Seattle Storm","L.A. Sparks",2015-07-15,0.5,-115,0.5,-101,72.5,72.5,-101
"163","Tulsa Shock","Indiana Fever",2015-07-15,1.5,-110,NA,-110,80,NA,-110
"164","Indiana Fever","Tulsa Shock",2015-07-15,-1.5,-110,NA,-110,80,NA,-110
"165","Atlanta Dream","L.A. Sparks",2015-07-16,1.5,-115,0.5,103,76.5,75.5,-118
"166","L.A. Sparks","Atlanta Dream",2015-07-16,-1.5,-105,-0.5,-114,76.5,75.5,107
"167","Connecticut Sun","New York Liberty",2015-07-16,4,-115,3,-107,73.5,73.5,-103
"168","New York Liberty","Connecticut Sun",2015-07-16,-4,-105,-3,-103,73.5,73.5,-107
"169","Indiana Fever","Washington Mystics",2015-07-17,1.5,-115,0.5,101,75.5,74.5,-107
"170","Washington Mystics","Indiana Fever",2015-07-17,-1.5,-105,-0.5,-111,75.5,74.5,-103
"171","Chicago Sky","Minnesota Lynx",2015-07-17,3.5,-110,2.5,108,78.5,77.5,-113
"172","Minnesota Lynx","Chicago Sky",2015-07-17,-3.5,-110,-2.5,-119,78.5,77.5,103
"173","Tulsa Shock","San Antonio Stars",2015-07-17,-2.5,-110,-2.5,-101,75.5,75,-102
"174","San Antonio Stars","Tulsa Shock",2015-07-17,2.5,-110,2.5,-109,75.5,75,-108
"175","Atlanta Dream","Seattle Storm",2015-07-18,-1,-110,-1,-107,73,73,-104
"176","Seattle Storm","Atlanta Dream",2015-07-18,1,-110,1,-103,73,73,-106
"177","New York Liberty","Phoenix Mercury",2015-07-18,4,-110,3.5,-102,73.5,73.5,-107
"178","Phoenix Mercury","New York Liberty",2015-07-18,-4,-110,-3.5,-108,73.5,73.5,-103
"179","Indiana Fever","Connecticut Sun",2015-07-18,1.5,-115,1,-103,77,76,-119
"180","Connecticut Sun","Indiana Fever",2015-07-18,-1.5,-105,-1,-107,77,76,108
"181","Minnesota Lynx","Tulsa Shock",2015-07-19,-1.5,-115,-1.5,-113,76,75.5,-102
"182","Tulsa Shock","Minnesota Lynx",2015-07-19,1.5,-105,1.5,102,76,75.5,-108
"183","San Antonio Stars","Chicago Sky",2015-07-19,6.5,-110,6.5,-100,78,77.5,-102
"184","Chicago Sky","San Antonio Stars",2015-07-19,-6.5,-110,-6.5,-110,78,77.5,-108
"185","Connecticut Sun","Washington Mystics",2015-07-19,3,-115,3,100,70,70.5,-109
"186","Washington Mystics","Connecticut Sun",2015-07-19,-3,-105,-3,-111,70,70.5,-101
"187","Indiana Fever","San Antonio Stars",2015-07-21,-1,-110,-0.5,-111,75,75,-107
