PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,PTS_DRIVE,FGP_DRIVE,PTS_CLOSE,FGP_CLOSE,PTS_CATCH_SHOOT,FGP_CATCH_SHOOT,PTS_PULL_UP,FGP_PULL_UP,FGA_DRIVE,FGA_CLOSE,FGA_CATCH_SHOOT,FGA_PULL_UP,EFG_PCT,CFGM,CFGA,CFGP,UFGM,UFGA,UFGP,CFG3M,CFG3A,CFG3P,UFG3M,UFG3A,UFG3P,X
201601,Luc Mbah a Moute,Luc,Mbah a Moute,LAC,79,22.2,5.9,1.0,0.459,1.1,0.644,2.0,0.408,0.4,0.485,0.8,0.7,1.9,0.4,0.555,0.0,0.2,0.25,0.9,2.2,0.436,0.0,0.1,0.25,0.5,1.2,0.398,NA
2733,Shaun Livingston,Shaun,Livingston,GSW,75,17.7,5.2,0.5,0.56,1.3,0.701,0.4,0.481,2.1,0.471,0.3,0.9,0.4,2.3,0.554,1.0,2.1,0.471,0.3,0.6,0.477,0.0,0.0,0.0,0.0,0.0,0.333,NA
101108,Chris Paul,Chris,Paul,LAC,60,31.5,18.1,2.4,0.533,0.2,0.667,1.6,0.459,10.4,0.461,1.8,0.2,1.2,9.6,0.554,1.5,3.6,0.428,3.6,7.5,0.473,0.3,1.1,0.288,1.7,3.8,0.442,NA
2399,Mike Dunleavy,Mike,Dunleavy,TOTAL,51,15.8,5.2,0.4,0.316,0.7,0.8,2.8,0.422,0.6,0.286,0.4,0.4,2.3,0.8,0.553,0.2,0.8,0.256,1.0,2.3,0.432,0.2,0.5,0.346,0.8,2.0,0.42,NA
201588,George Hill,George,Hill,UTA,48,31.7,17.0,4.3,0.528,0.7,0.762,3.5,0.406,5.3,0.434,3.0,0.4,2.9,5.2,0.553,1.2,2.8,0.432,2.3,5.6,0.414,0.3,0.8,0.385,1.6,4.0,0.406,NA
2200,Pau Gasol,Pau,Gasol,SAS,62,25.4,12.5,1.0,0.5,2.3,0.633,5.1,0.51,0.5,0.348,0.7,1.6,4.1,0.7,0.551,0.3,0.8,0.404,2.1,4.2,0.5,0.0,0.1,0.6,0.8,1.6,0.536,NA
201585,Kosta Koufos,Kosta,Koufos,SAC,71,20.0,6.6,0.1,0.6,3.6,0.559,0.3,0.344,0.1,0.385,0.1,3.0,0.5,0.2,0.551,0.1,0.3,0.444,0.1,0.4,0.31,0.0,0.0,0.0,0.0,0.0,0.0,NA
1627746,Skal Labissiere,Skal,Labissiere,SAC,31,17.8,8.7,0.4,0.417,2.3,0.6,1.7,0.556,1.2,0.559,0.4,1.6,1.5,1.1,0.551,0.6,1.3,0.462,0.9,1.5,0.587,0.0,0.0,0.0,0.1,0.2,0.429,NA
202683,Enes Kanter,Enes,Kanter,OKC,70,21.3,14.4,0.4,0.526,3.7,0.59,1.2,0.345,0.1,0.192,0.3,2.5,1.7,0.4,0.55,0.1,0.5,0.212,0.7,1.9,0.358,0.0,0.1,0.25,0.1,0.5,0.118,NA
201583,Ryan Anderson,Ryan,Anderson,HOU,71,29.3,13.5,0.8,0.432,0.9,0.583,7.2,0.429,2.1,0.341,0.6,0.5,5.6,2.5,0.549,0.2,0.6,0.31,3.1,7.7,0.406,0.1,0.3,0.389,2.7,6.7,0.404,NA
