"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"18599-58661","SG","Rashad","Rashad Vaughn","Vaughn","6.526315789473684","38","3500","MIL@IND","MIL","IND","","","",""
"18599-71467","PG","Malcolm","Malcolm Delaney","Delaney","10.847826086956522","69","3500","BOS@ATL","ATL","BOS","GTD","Back","",""
"18599-12335","PF","Kevin","Kevin Seraphin","Seraphin","8.668889024522569","45","3500","MIL@IND","IND","MIL","","","",""
"18599-15669","PF","Meyers","Meyers Leonard","Leonard","11.032856968470982","70","3500","MIN@POR","POR","MIN","","","",""
"18599-41269","PG","Demetrius","Demetrius Jackson","Jackson","3.8599998474121096","5","3500","BOS@ATL","BOS","ATL","","","",""
"18599-12344","PG","Greivis","Greivis Vasquez","Vasquez","6.633333206176758","3","3500","BKN@ORL","BKN","ORL","","","",""
"18599-23097","SG","Tomas","Tomas Satoransky","Satoransky","7.140740853768808","54","3500","WAS@NY","WAS","NY","","","",""
"18599-16188","SF","Anthony","Anthony Brown","Brown","9.145454406738281","11","3500","BKN@ORL","ORL","BKN","","","",""
"18599-9534","PG","Aaron","Aaron Brooks","Brooks","9.28196741323002","61","3500","MIL@IND","IND","MIL","","","",""
"18599-12354","C","Cole","Cole Aldrich","Aldrich","6.644262094966701","61","3500","MIN@POR","MIN","POR","","","",""
"18599-17218","PF","Andrew","Andrew Nicholson","Nicholson","5.694444444444445","36","3500","BKN@ORL","BKN","ORL","","","",""
"18599-16197","PG","Chasson","Chasson Randle","Randle","8.808695917544158","23","3500","WAS@NY","NY","WAS","","","",""
"18599-9542","PF","Luis","Luis Scola","Scola","11.341666327582466","36","3500","BKN@ORL","BKN","ORL","","","",""
"18599-16201","PG","Michael","Michael Carter-Williams","Carter-Williams","16.1243896484375","41","3500","CHI@PHI","CHI","PHI","","","",""
"18599-16202","C","Rakeem","Rakeem Christmas","Christmas","5.43076911339393","26","3500","MIL@IND","IND","MIL","","","",""
"18599-9547","SF","Mike","Mike Dunleavy","Dunleavy","9.147916793823242","48","3500","BOS@ATL","ATL","BOS","","","",""
"18599-9549","SG","Brandon","Brandon Rush","Rush","9.802381243024554","42","3500","MIN@POR","MIN","POR","","","",""
"18599-55376","SF","Damjan","Damjan Rudez","Rudez","3.5697674418604652","43","3500","BKN@ORL","ORL","BKN","","","",""
"18599-63828","SF","Axel","Axel Toupane","Toupane","0","2","3500","MIL@IND","MIL","IND","","","",""
"18599-15961","C","Tyler","Tyler Zeller","Zeller","8.479166666666666","48","3500","BOS@ATL","BOS","ATL","GTD","Personal","",""
"18599-59483","PF","Chris","Chris McCullough","McCullough","4.226666768391927","15","3500","WAS@NY","WAS","NY","","","",""
"18599-23134","SG","Patricio","Patricio Garino","Garino","1.2000000476837158","1","3500","BKN@ORL","ORL","BKN","","","",""
"18599-9567","SG","Sasha","Sasha Vujacic","Vujacic","5.713158055355675","38","3500","WAS@NY","NY","WAS","","","",""
"18599-20064","PG","Matthew","Matthew Dellavedova","Dellavedova","16.693150350492296","73","3500","MIL@IND","MIL","IND","","","",""
"18599-41063","PF","Jordan","Jordan Mickey","Mickey","4.095833460489909","24","3500","BOS@ATL","BOS","ATL","","","",""
"18599-41065","PG","Tim","Tim Quarterman","Quarterman","3.0923077509953427","13","3500","MIN@POR","POR","MIN","","","",""
"18599-15469","PF","Quincy","Quincy Acy","Acy","11.277777777777779","36","3500","BKN@ORL","BKN","ORL","","","",""
"18599-23156","SF","Georges","Georges Niang","Niang","2.1695652837338657","23","3500","MIL@IND","IND","MIL","","","",""
"18599-16246","SG","Sheldon","Sheldon McClellan","McClellan","5.086206896551724","29","3500","WAS@NY","WAS","NY","","","",""
"18599-9849","SG","Gerald","Gerald Green","Green","8.713333468967013","45","3500","BOS@ATL","BOS","ATL","","","",""
"18599-15993","SG","Pat","Pat Connaughton","Connaughton","3.827777862548828","36","3500","MIN@POR","POR","MIN","","","",""
"18599-15996","PG","Jerian","Jerian Grant","Grant","10.68813517942267","59","3500","CHI@PHI","CHI","PHI","","","",""
"18599-12421","C","Tiago","Tiago Splitter","Splitter","8.274999618530273","4","3500","CHI@PHI","PHI","CHI","","","",""
"18599-58247","PG","Isaiah","Isaiah Whitehead","Whitehead","14.566666312839674","69","3500","BKN@ORL","BKN","ORL","GTD","Ankle","",""
"18599-23178","SF","Mirza","Mirza Teletovic","Teletovic","10.359091094045928","66","3500","MIL@IND","MIL","IND","","","",""
"18599-18828","SG","Joe","Joe Young","Young","3.5709676434916835","31","3500","MIL@IND","IND","MIL","","","",""
"18599-15757","PF","Terrence","Terrence Jones","Jones","21.84629539207176","54","3500","MIL@IND","MIL","IND","","","",""
"18599-63123","SG","Mario","Mario Hezonja","Hezonja","8.950819672131148","61","3500","BKN@ORL","ORL","BKN","","","",""
"18599-58519","PG","Gary","Gary Payton II","Payton II","10.550000190734863","2","3500","MIL@IND","MIL","IND","","","",""
"18599-66966","C","Stephen","Stephen Zimmerman Jr.","Zimmerman Jr.","4.147058823529412","17","3500","BKN@ORL","ORL","BKN","","","",""
"18599-42661","PF","Noah","Noah Vonleh","Vonleh","11.145714460100447","70","3500","MIN@POR","POR","MIN","","","",""
"18599-70820","C","Thon","Thon Maker","Maker","7.469811205594045","53","3500","MIL@IND","MIL","IND","","","",""
"18599-9895","SF","Steve","Steve Novak","Novak","1.0750000476837158","8","3500","MIL@IND","MIL","IND","","","",""
