PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,BLK,STL,FGM_DEFEND_RIM,FGA_DEFEND_RIM,FGP_DEFEND_RIM,BLK_TOT,X
2736,Luol Deng,Luol,Deng,LAL,56,26.5,0.4,0.9,1.7,2.9,0.596,20,NA
202699,Tobias Harris,Tobias,Harris,DET,80,31.3,0.5,0.7,2.2,3.6,0.597,39,NA
203109,Jae Crowder,Jae,Crowder,BOS,70,32.5,0.3,1.0,1.4,2.3,0.607,21,NA
200782,PJ Tucker,PJ,Tucker,TOTAL,78,27.9,0.2,1.4,1.6,2.6,0.607,19,NA
200782,PJ Tucker,PJ,Tucker,PHX,55,28.6,0.3,1.5,1.7,2.9,0.608,14,NA
201967,Dante Cunningham,Dante,Cunningham,NOP,64,25.2,0.4,0.6,1.8,3.0,0.609,27,NA
201229,Anthony Tolliver,Anthony,Tolliver,SAC,64,22.8,0.3,0.5,1.9,3.1,0.609,19,NA
201145,Jeff Green,Jeff,Green,ORL,69,22.1,0.2,0.5,1.4,2.3,0.61,13,NA
201935,James Harden,James,Harden,HOU,79,36.5,0.5,1.5,2.5,4.1,0.613,37,NA
202332,Cole Aldrich,Cole,Aldrich,MIN,61,8.5,0.4,0.4,1.7,2.7,0.614,23,NA
203952,Andrew Wiggins,Andrew,Wiggins,MIN,80,37.3,0.4,1.0,2.2,3.5,0.619,29,NA
2440,Matt Barnes,Matt,Barnes,TOTAL,74,24.0,0.4,0.6,1.5,2.5,0.623,26,NA
203939,Dwight Powell,Dwight,Powell,DAL,74,17.1,0.5,0.8,2.1,3.4,0.625,37,NA
203585,Rodney McGruder,Rodney,McGruder,MIA,76,25.2,0.2,0.6,1.4,2.1,0.632,18,NA
1626162,Kelly Oubre Jr.,Kelly,Oubre Jr.,WAS,77,19.9,0.2,0.7,1.3,2.0,0.637,16,NA
203084,Harrison Barnes,Harrison,Barnes,DAL,78,35.5,0.2,0.8,2.2,3.4,0.649,14,NA
