Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
18347-9606,SF,Corey,Corey Brewer,Brewer,9.370000349,70,3600,LAC@LAL,LAL,LAC,,
18347-9671,PF,Marreese,Marreese Speights,Speights,16.4070426,71,3600,LAC@LAL,LAC,LAL,,
18347-9713,PG,Jarrett,Jarrett Jack,Jack,7.25,2,3600,MEM@NO,NO,MEM,O,Knee
18347-19456,PG,Isaiah,Isaiah Canaan,Canaan,8.911428397,35,3500,CHI@TOR,CHI,TOR,,
18347-9739,C,JaVale,JaVale McGee,McGee,10.95692326,65,3500,GS@DAL,GS,DAL,,
18347-64017,C,Salah,Salah Mejri,Mejri,10.42580685,62,3500,GS@DAL,DAL,GS,,
18347-9751,PG,Toney,Toney Douglas,Douglas,12.46666718,24,3500,MEM@NO,MEM,NO,,
18347-9752,PF,Jordan,Jordan Hill,Hill,4.100000064,6,3500,SA@MIN,MIN,SA,,
18347-66091,PF,Cheick,Cheick Diallo,Diallo,8.754545732,11,3500,MEM@NO,NO,MEM,,
18347-12340,PF,Patrick,Patrick Patterson,Patterson,15.96603797,53,3500,CHI@TOR,TOR,CHI,,
18347-9783,C,Joel,Joel Anthony,Anthony,3.626666768,15,3500,SA@MIN,SA,MIN,,
18347-12344,PG,Greivis,Greivis Vasquez,Vasquez,6.633333206,3,3500,DET@BKN,BKN,DET,,
18347-12348,SF,Wesley,Wesley Johnson,Johnson,8.228571816,63,3500,LAC@LAL,LAC,LAL,,
18347-12349,SF,Luke,Luke Babbitt,Babbitt,8.631147541,61,3500,PHO@MIA,MIA,PHO,,
18347-12354,C,Cole,Cole Aldrich,Aldrich,6.915517347,58,3500,SA@MIN,MIN,SA,,
18347-9796,SF,Luc Richard,Luc Richard Mbah a Moute,Mbah a Moute,11.6130433,69,3500,LAC@LAL,LAC,LAL,,
18347-66117,C,Diamond,Diamond Stone,Stone,2.457142966,7,3500,LAC@LAL,LAC,LAL,GTD,Knee
18347-15947,SG,Reggie,Reggie Bullock,Bullock,7.786956787,23,3500,DET@BKN,DET,BKN,,
18347-9804,C,Alexis,Alexis Ajinca,Ajinca,11.23225846,31,3500,MEM@NO,NO,MEM,,
18347-66129,PF,Deyonta,Deyonta Davis,Davis,4.779999797,30,3500,MEM@NO,MEM,NO,,
18347-12369,SG,Lance,Lance Stephenson,Stephenson,12.88333384,12,3500,SA@MIN,MIN,SA,,
18347-15955,PF,James Michael,James Michael McAdoo,McAdoo,6.817073171,41,3500,GS@DAL,GS,DAL,,
18347-17491,SF,James,James Ennis III,Ennis III,13.85925971,54,3500,MEM@NO,MEM,NO,,
18347-20064,PG,Matthew,Matthew Dellavedova,Dellavedova,17.11093712,64,3500,MIL@POR,MIL,POR,,
18347-23654,PF,Brice,Brice Johnson,Johnson,5.050000191,2,3500,LAC@LAL,LAC,LAL,,
18347-41065,PG,Tim,Tim Quarterman,Quarterman,3.092307751,13,3500,MIL@POR,POR,MIL,,
18347-60021,PF,Pascal,Pascal Siakam,Siakam,10.77115338,52,3500,CHI@TOR,TOR,CHI,,
18347-15993,SG,Pat,Pat Connaughton,Connaughton,4.11935474,31,3500,MIL@POR,POR,MIL,,
18347-41082,C,Damian,Damian Jones,Jones,3.911111196,9,3500,GS@DAL,GS,DAL,,
18347-58490,PG,Wade,Wade Baldwin IV,Baldwin IV,8.420833588,24,3500,MEM@NO,MEM,NO,,
18347-15996,PG,Jerian,Jerian Grant,Grant,11.07272727,55,3500,CHI@TOR,CHI,TOR,,
18347-67708,PG,Dejounte,Dejounte Murray,Murray,6.497297132,37,3500,SA@MIN,SA,MIN,O,Groin
18347-12423,C,Omer,Omer Asik,Asik,10.29354858,31,3500,MEM@NO,NO,MEM,O,Illness
18347-16008,PF,Jared,Jared Sullinger,Sullinger,7.263636502,11,3500,PHO@MIA,PHO,MIA,,
18347-23178,SF,Mirza,Mirza Teletovic,Teletovic,10.26315789,57,3500,MIL@POR,MIL,POR,,
18347-21665,SG,Alan,Alan Anderson,Anderson,4.896153964,26,3500,LAC@LAL,LAC,LAL,,
18347-70819,PF,Dragan,Dragan Bender,Bender,7.207894576,38,3500,PHO@MIA,PHO,MIA,O,Ankle
18347-23716,SF,Kyle,Kyle Anderson,Anderson,9.584999593,60,3500,SA@MIN,SA,MIN,,
18347-9895,SF,Steve,Steve Novak,Novak,1.075000048,8,3500,MIL@POR,MIL,POR,,
18347-42665,PG,Andrew,Andrew Harrison,Harrison,13.1174607,63,3500,MEM@NO,MEM,NO,,
18347-15532,SG,K.J.,K.J. McDaniels,McDaniels,5.243589744,39,3500,DET@BKN,BKN,DET,,
18347-70832,SF,Paul,Paul Zipser,Zipser,8.903124809,32,3500,CHI@TOR,CHI,TOR,,
18347-15542,PG,Spencer,Spencer Dinwiddie,Dinwiddie,15.59130461,46,3500,DET@BKN,BKN,DET,,
18347-14519,PF,Donatas,Donatas Motiejunas,Motiejunas,10.00740786,27,3500,MEM@NO,NO,MEM,,
18347-24247,PG,Fred,Fred VanVleet,VanVleet,6.270000203,30,3500,CHI@TOR,TOR,CHI,,
18347-42689,PG,Tyler,Tyler Ennis,Ennis,4.987804878,41,3500,LAC@LAL,LAL,LAC,GTD,Shoulder
18347-15560,PG,Shabazz,Shabazz Napier,Napier,7.356818459,44,3500,MIL@POR,POR,MIL,,
18347-14537,SF,Chandler,Chandler Parsons,Parsons,12.33235258,34,3500,MEM@NO,MEM,NO,O,Knee
18347-9935,C,Brandan,Brandan Wright,Wright,12.01875019,16,3500,MEM@NO,MEM,NO,,
18347-14543,SF,Davis,Davis Bertans,Bertans,8.121052524,57,3500,SA@MIN,SA,MIN,,
18347-58576,PF,Kevon,Kevon Looney,Looney,7.28,50,3500,GS@DAL,GS,DAL,,
18347-9940,SF,Dante,Dante Cunningham,Cunningham,13.91090865,55,3500,MEM@NO,NO,MEM,,
18347-15582,SG,Quinn,Quinn Cook,Cook,7.349999746,6,3500,MEM@NO,NO,MEM,,
18347-15585,SG,Michael,Michael Gbinije,Gbinije,1.17777782,9,3500,DET@BKN,DET,BKN,,
18347-58081,PG,Tyus,Tyus Jones,Jones,9.197872081,47,3500,SA@MIN,MIN,SA,,
18347-9955,SG,Marcus,Marcus Thornton,Thornton,11.79393976,33,3500,DET@BKN,BKN,DET,,
18347-23780,PF,Jake,Jake Layman,Layman,3.685185185,27,3500,MIL@POR,POR,MIL,,
18347-9960,PF,Omri,Omri Casspi,Casspi,12.75652147,23,3500,SA@MIN,MIN,SA,GTD,Coach's decision
18347-23273,C,A.J.,A.J. Hammons,Hammons,3.529411765,17,3500,GS@DAL,DAL,GS,,
18347-23788,SG,Bryn,Bryn Forbes,Forbes,2.496296353,27,3500,SA@MIN,SA,MIN,,
18347-9459,SF,Paul,Paul Pierce,Pierce,6.875,16,3500,LAC@LAL,LAC,LAL,,
18347-9465,PG,Raymond,Raymond Felton,Felton,15.58840544,69,3500,LAC@LAL,LAC,LAL,,
18347-23802,PG,Kris,Kris Dunn,Dunn,10.94307674,65,3500,SA@MIN,MIN,SA,,
18347-15620,PF,Okaro,Okaro White,White,8.09583346,24,3500,PHO@MIA,MIA,PHO,,
18347-9479,SF,Luol,Luol Deng,Deng,17.55357143,56,3500,LAC@LAL,LAL,LAC,,
18347-40200,C,Lucas,Lucas Nogueira,Nogueira,15.48148148,54,3500,CHI@TOR,TOR,CHI,,
18347-15631,SG,Hollis,Hollis Thompson,Thompson,10.82249985,40,3500,MEM@NO,NO,MEM,,
18347-23824,PG,Archie,Archie Goodwin,Goodwin,6.974999905,4,3500,DET@BKN,BKN,DET,,
18347-40209,C,Joffrey,Joffrey Lauvergne,Lauvergne,11.24655151,58,3500,CHI@TOR,CHI,TOR,,
18347-9490,C,Anderson,Anderson Varejao,Varejao,4.957142966,14,3500,GS@DAL,GS,DAL,,
18347-9496,PG,Jason,Jason Terry,Terry,8.870491403,61,3500,MIL@POR,MIL,POR,,
18347-58658,SG,Patrick,Patrick McCaw,McCaw,7.701666768,60,3500,GS@DAL,GS,DAL,,
18347-58661,SG,Rashad,Rashad Vaughn,Vaughn,6.660606153,33,3500,MIL@POR,MIL,POR,,
18347-71469,SG,Nicolas,Nicolas Brussino,Brussino,4.988636364,44,3500,GS@DAL,DAL,GS,,
18347-15669,PF,Meyers,Meyers Leonard,Leonard,11.36557357,61,3500,MIL@POR,POR,MIL,,
18347-34615,C,Willie,Willie Reed,Reed,12.77627098,59,3500,PHO@MIA,MIA,PHO,,
18347-9529,SG,Anthony,Anthony Morrow,Morrow,8.03095209,42,3500,CHI@TOR,CHI,TOR,,
18347-20805,SG,Troy,Troy Daniels,Daniels,10.74909113,55,3500,MEM@NO,MEM,NO,,
18347-9542,PF,Luis,Luis Scola,Scola,11.34166633,36,3500,DET@BKN,BKN,DET,,
18347-9549,SG,Brandon,Brandon Rush,Rush,9.873529771,34,3500,SA@MIN,MIN,SA,,
18347-63826,C,Boban,Boban Marjanovic,Marjanovic,8.325000218,28,3500,DET@BKN,DET,BKN,,
18347-17747,SG,Ian,Ian Clark,Clark,10.85692326,65,3500,GS@DAL,GS,DAL,,
18347-63828,SF,Axel,Axel Toupane,Toupane,0,2,3500,MIL@POR,MIL,POR,,
18347-9568,SF,Metta,Metta World Peace,World Peace,2.535000038,20,3500,LAC@LAL,LAL,LAC,,
18347-15730,PF,Thomas,Thomas Robinson,Robinson,10.61282036,39,3500,LAC@LAL,LAL,LAC,,
18347-40819,PF,Jarell,Jarell Martin,Martin,9.232499695,40,3500,MEM@NO,MEM,NO,,
18347-9589,PF,Udonis,Udonis Haslem,Haslem,5.5,16,3500,PHO@MIA,MIA,PHO,,
18347-58237,PF,Ben,Ben Bentil,Bentil,0.466666659,3,3500,GS@DAL,DAL,GS,,
