PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,REB,REB_CHANCE,REB_COL_PCT,REB_CONTESTED,REB_UNCONTESTED,REB_UNCONTESTED_PCT,REB_TOT,OREB,OREB_CHANCE,OREB_COL_PCT,OREB_CONTESTED,OREB_UNCONTESTED,OREB_UNCONTESTED_PCT,DREB,DREB_CHANCE,DREB_COL_PCT,DREB_CONTESTED,DREB_UNCONTESTED,DREB_UNCONTESTED_PCT,X
203897,Zach LaVine,Zach,LaVine,MIN,47,37.2,3.4,5.9,0.576,0.5,2.9,.138,160,0.4,0.9,.463,0.1,0.3,.368,3.0,5.0,0.595,0.3,2.7,.106,NA
1626144,Emmanuel Mudiay,Emmanuel,Mudiay,DEN,54,25.5,3.3,5.9,0.55,0.6,2.6,.193,176,0.5,1.4,.387,0.2,0.3,.414,2.7,4.5,0.6,0.4,2.3,.150,NA
202711,Bojan Bogdanovic,Bojan,Bogdanovic,BKN,54,27.1,3.6,5.8,0.631,0.6,3.0,.178,197,0.4,1.1,.397,0.3,0.1,.652,3.2,4.7,0.685,0.4,2.9,.115,NA
1713,Vince Carter,Vince,Carter,MEM,72,24.7,3.1,5.8,0.542,0.9,2.3,.276,225,0.5,1.1,.474,0.3,0.2,.667,2.6,4.7,0.558,0.5,2.1,.201,NA
203487,Michael Carter-Williams,Michael,Carter-Williams,CHI,43,19.2,3.5,5.8,0.608,1.0,2.5,.296,152,0.6,1.4,.393,0.3,0.3,.542,3.0,4.4,0.677,0.7,2.2,.250,NA
1627741,Buddy Hield,Buddy,Hield,TOTAL,80,22.8,3.2,5.8,0.56,0.6,2.6,.186,258,0.4,1.0,.386,0.2,0.2,.531,2.8,4.7,0.598,0.4,2.4,.137,NA
1626179,Terry Rozier,Terry,Rozier,BOS,72,17.4,3.1,5.8,0.53,0.8,2.2,.267,221,0.5,1.4,.398,0.3,0.3,.487,2.5,4.4,0.571,0.6,2.0,.220,NA
202338,Kevin Seraphin,Kevin,Seraphin,IND,46,11.0,2.8,5.8,0.485,0.9,1.9,.333,129,0.8,2.5,.333,0.6,0.2,.711,2.0,3.3,0.599,0.3,1.6,.176,NA
201589,Darrell Arthur,Darrell,Arthur,DEN,39,14.9,2.7,5.7,0.477,0.9,1.8,.330,107,0.6,1.5,.400,0.4,0.2,.708,2.1,4.2,0.506,0.5,1.6,.220,NA
1627767,Cheick Diallo,Cheick,Diallo,NOP,15,9.5,3.1,5.7,0.541,0.7,2.3,.239,46,1.1,2.5,.421,0.6,0.5,.563,2.0,3.1,0.638,0.1,1.9,.067,NA
201145,Jeff Green,Jeff,Green,ORL,69,22.1,3.1,5.7,0.549,0.8,2.3,.266,214,0.6,1.2,.464,0.3,0.3,.513,2.5,4.4,0.572,0.5,2.0,.211,NA
1627823,Juan Hernangomez,Juan,Hernangomez,DEN,59,13.0,2.9,5.7,0.515,1.1,1.8,.366,174,0.7,1.9,.384,0.5,0.2,.744,2.2,3.8,0.581,0.5,1.7,.240,NA
201584,Courtney Lee,Courtney,Lee,NYK,76,32.1,3.4,5.7,0.596,0.7,2.7,.198,258,0.7,1.3,.535,0.3,0.4,.434,2.7,4.4,0.614,0.4,2.3,.137,NA
1627827,Dorian Finney-Smith,Dorian,Finney-Smith,DAL,78,20.2,2.7,5.6,0.477,0.9,1.8,.329,210,0.7,1.8,.369,0.4,0.3,.596,2.0,3.8,0.528,0.5,1.5,.241,NA
204456,T.J. McConnell,T.J.,McConnell,PHI,79,26.3,3.1,5.6,0.55,0.6,2.5,.198,243,0.5,1.2,.424,0.2,0.3,.333,2.6,4.4,0.583,0.4,2.1,.172,NA
1626147,Justin Anderson,Justin,Anderson,TOTAL,72,16.3,3.4,5.5,0.609,0.9,2.4,.280,243,1.0,1.7,.580,0.6,0.4,.609,2.4,3.9,0.621,0.4,2.1,.149,NA
201563,Michael Beasley,Michael,Beasley,MIL,54,16.4,3.4,5.5,0.627,1.3,2.1,.378,185,0.7,1.3,.559,0.6,0.1,.895,2.7,4.2,0.648,0.7,2.1,.245,NA
203903,Jordan Clarkson,Jordan,Clarkson,LAL,80,29.3,3.0,5.5,0.544,0.6,2.4,.213,240,0.6,1.7,.358,0.3,0.3,.551,2.4,3.8,0.628,0.3,2.1,.126,NA
2594,Kyle Korver,Kyle,Korver,CLE,33,24.8,2.6,5.5,0.475,0.7,2.0,.253,87,0.2,0.5,.438,0.1,0.2,.286,2.4,5.1,0.479,0.6,1.8,.250,NA
