PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,TCH,FC_TCH,TOP,CL_TCH,EL_TCH,PTS,PTS_TCH,PTS_HCCT,TCH_TOT,X
202681,Kyrie Irving,Kyrie,Irving,CLE,72,35.1,79.1,67.7,6.4,1.2,1.1,25.2,0.319,0.372,5694,NA
201565,Derrick Rose,Derrick,Rose,NYK,64,32.6,78.9,71.5,5.8,0.9,0.7,18.0,0.229,0.252,5050,NA
201939,Stephen Curry,Stephen,Curry,GSW,78,33.5,78.6,67.2,5.0,2.1,1.3,25.4,0.323,0.378,6133,NA
201952,Jeff Teague,Jeff,Teague,IND,80,32.4,77.1,69.0,6.7,0.4,0.7,15.3,0.198,0.221,6171,NA
203110,Draymond Green,Draymond,Green,GSW,76,32.6,75.8,49.0,2.5,2.4,2.6,10.2,0.135,0.208,5762,NA
201588,George Hill,George,Hill,UTA,48,31.7,75.0,69.1,6.2,0.8,0.6,17.0,0.227,0.246,3601,NA
201188,Marc Gasol,Marc,Gasol,MEM,73,34.4,74.8,56.2,2.4,5.5,11.0,19.6,0.262,0.349,5462,NA
201954,Darren Collison,Darren,Collison,SAC,68,30.4,74.6,66.3,5.6,0.8,0.8,13.2,0.177,0.2,5073,NA
203076,Anthony Davis,Anthony,Davis,NOP,75,36.1,73.8,48.4,2.1,3.9,6.5,28.0,0.379,0.578,5538,NA
200765,Rajon Rondo,Rajon,Rondo,CHI,68,26.8,72.6,60.8,5.0,0.8,0.7,7.8,0.107,0.128,4937,NA
202326,DeMarcus Cousins,DeMarcus,Cousins,NOP,17,33.7,72.3,50.0,2.8,3.8,3.4,24.4,0.337,0.487,1229,NA
203901,Elfrid Payton,Elfrid,Payton,ORL,81,29.3,71.9,64.2,5.8,0.7,0.5,12.7,0.176,0.197,5825,NA
1626157,Karl-Anthony Towns,Karl-Anthony,Towns,MIN,80,36.9,71.8,44.5,2.0,5.8,4.6,25.1,0.349,0.564,5746,NA
201573,Jerryd Bayless,Jerryd,Bayless,PHI,3,23.9,71.0,64.7,5.1,2.0,0.3,11.0,0.155,0.17,213,NA
1626156,D'Angelo Russell,D'Angelo,Russell,LAL,63,28.8,70.9,59.4,4.8,0.9,0.5,15.6,0.22,0.263,4465,NA
202710,Jimmy Butler,Jimmy,Butler,CHI,75,37.0,69.8,61.2,5.0,2.5,1.8,23.9,0.342,0.39,5238,NA
203999,Nikola Jokic,Nikola,Jokic,DEN,70,27.9,68.0,43.4,2.2,4.2,5.8,16.6,0.244,0.383,4761,NA
201143,Al Horford,Al,Horford,BOS,67,32.5,67.8,47.9,1.9,3.7,3.5,14.0,0.207,0.293,4541,NA
202704,Reggie Jackson,Reggie,Jackson,DET,52,27.4,67.8,59.7,6.1,0.2,0.0,14.5,0.213,0.242,3527,NA
202696,Nikola Vucevic,Nikola,Vucevic,ORL,74,28.7,65.7,39.1,1.7,4.8,4.1,14.6,0.222,0.373,4863,NA
101114,Deron Williams,Deron,Williams,TOTAL,61,25.5,65.6,58.6,5.3,0.6,0.9,10.4,0.158,0.177,4001,NA
