"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","Wayne Selden Jr.",3000,"Hou@NO 08:00PM ET",6.750,"NO"
"SF","Quincy Pondexter",3000,"Hou@NO 08:00PM ET",0,"NO"
"PF","Donatas Motiejunas",3000,"Hou@NO 08:00PM ET",11.019,"NO"
"PF","Kyle Wiltjer",3000,"Hou@NO 08:00PM ET",2.455,"Hou"
"PF","Cheick Diallo",3000,"Hou@NO 08:00PM ET",9.023,"NO"
"C","Alexis Ajinca",3000,"Hou@NO 08:00PM ET",11.867,"NO"
"C","Omer Asik",3000,"Hou@NO 08:00PM ET",10.831,"NO"
"C","Montrezl Harrell",3000,"Hou@NO 08:00PM ET",17.063,"Hou"
"C","Chinanu Onuaku",3000,"Hou@NO 08:00PM ET",6.625,"Hou"
"PG/SG","C.J. Watson",3000,"Orl@Pho 10:00PM ET",10.690,"Orl"
"PG","Ronnie Price",3000,"Orl@Pho 10:00PM ET",2.050,"Pho"
"PG","D.J. Augustin",3000,"Orl@Pho 10:00PM ET",15.246,"Orl"
"SG","Jodie Meeks",3000,"Orl@Pho 10:00PM ET",16.792,"Orl"
"SG","C.J. Wilcox",3000,"Orl@Pho 10:00PM ET",2.675,"Orl"
"SF/PF","Jared Dudley",3000,"Orl@Pho 10:00PM ET",14.333,"Pho"
"SF","Mario Hezonja",3000,"Orl@Pho 10:00PM ET",9.264,"Orl"
"SF","Derrick Jones Jr.",3000,"Orl@Pho 10:00PM ET",6.778,"Pho"
"PF","Damjan Rudez",3000,"Orl@Pho 10:00PM ET",3.944,"Orl"
"PF","Dragan Bender",3000,"Orl@Pho 10:00PM ET",8.053,"Pho"
"C","Tyson Chandler",3000,"Orl@Pho 10:00PM ET",25.830,"Pho"
"C","Stephen Zimmerman Jr.",3000,"Orl@Pho 10:00PM ET",4.167,"Orl"
"PG/SG","Tyler Ennis",3000,"Mil@LAL 10:30PM ET",5.654,"LAL"
"PG","Jason Terry",3000,"Mil@LAL 10:30PM ET",9.695,"Mil"
"SG","David Nwaba",3000,"Mil@LAL 10:30PM ET",7.406,"LAL"
"SG","Rashad Vaughn",3000,"Mil@LAL 10:30PM ET",7.000,"Mil"
"SF","Metta World Peace",3000,"Mil@LAL 10:30PM ET",2.713,"LAL"
"SF","Luol Deng",3000,"Mil@LAL 10:30PM ET",18.790,"LAL"
"SF","Corey Brewer",3000,"Mil@LAL 10:30PM ET",9.846,"LAL"
"PF","Thomas Robinson",3000,"Mil@LAL 10:30PM ET",11.388,"LAL"
"PF","Terrence Jones",3000,"Mil@LAL 10:30PM ET",23.712,"Mil"
"PF","Mirza Teletovic",3000,"Mil@LAL 10:30PM ET",11.273,"Mil"
"PF","Jabari Parker",3000,"Mil@LAL 10:30PM ET",34.578,"Mil"
"C","Spencer Hawes",3000,"Mil@LAL 10:30PM ET",15.363,"Mil"
"C","Tarik Black",3000,"Mil@LAL 10:30PM ET",14.714,"LAL"
"C","Timofey Mozgov",3000,"Mil@LAL 10:30PM ET",15.833,"LAL"
"C","Thon Maker",3000,"Mil@LAL 10:30PM ET",7.071,"Mil"
